item_id,annotator,sheet,row,field,value,raw
00151b6ad0c48781,enrico,ad hominem,35,scheme,ad_hominem,Ad Hominem
00151b6ad0c48781,enrico,ad hominem,35,verdict,ad_hominem_abusive,Abusive
006fc3d81e7b1a67,enrico,Copia di example_final_Enrico,10,comment,manca materiale?,manca materiale?
006fc3d81e7b1a67,enrico,Copia di example_final_Enrico,10,scheme,example,YES
006fc3d81e7b1a67,enrico,Copia di example_final_Enrico,10,verdict,idk,?
00c06534c978064a,enrico,Copia di new_ad_populum_Enrico,128,difficulty,2,2
00c06534c978064a,enrico,Copia di new_ad_populum_Enrico,128,scheme,popular_opinion,YES
00c06534c978064a,enrico,Copia di new_ad_populum_Enrico,128,verdict,ad_populum,ad populum
00c06534c978064a,base,new_ad_populum,128,starting_label,ad_populum,ad populum
011900da9883f3cb,base,Annotazione Dumitru Expert Opin,105,starting_label,strawman,straw man
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,CQ1,yes,yes
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,CQ2,no,no
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,CQ3,no,no
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,CQ3.1,yes,yes
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,CQ4,yes,yes
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,CQ4.1,yes,yes
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,scheme,expert_opinion,YES
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,uncertainty,CQ1:AMB;CQ2:AMB;CQ4.1:AMB,CQ1:AMB;CQ2:AMB;CQ4.1:AMB
011900da9883f3cb,dumitru,Annotazione Dumitru Expert Opin,105,verdict,strawman,Strawman
011900da9883f3cb,eleni,new_expert_opinion,105,verdict,strawman,straw man
011900da9883f3cb,enrico,new_expert_opinion,105,scheme,none,NO
011900da9883f3cb,enrico,new_expert_opinion,105,verdict,strawman,straw man
